x,y,energy
2.20,2.70,15.304
2.20,2.75,15.041
2.20,2.80,14.875
2.20,2.85,14.934
2.20,2.90,14.854
2.20,2.95,14.824
2.20,3.00,14.888
2.25,2.20,26.674
2.25,2.25,24.319
2.25,2.30,22.241
2.25,2.35,20.536
2.25,2.40,18.986
2.25,2.45,17.769
2.25,2.50,16.673
2.25,2.55,15.700
2.25,2.60,14.992
2.25,2.65,14.404
2.25,2.70,13.990
2.25,2.75,13.710
2.25,2.80,13.553
2.25,2.85,13.516
2.25,2.90,13.630
2.25,2.95,13.588
2.25,3.00,13.622
2.30,2.25,23.590
2.30,2.30,21.387
2.30,2.35,19.548
2.30,2.40,18.007
2.30,2.45,16.749
2.30,2.50,15.692
2.30,2.55,14.634
2.30,2.60,13.768
2.30,2.65,13.095
2.30,2.70,12.677
2.30,2.75,12.364
2.30,2.80,12.198
2.30,2.85,12.169
2.30,2.90,12.225
2.30,2.95,12.331
2.30,3.00,12.366
2.35,2.30,20.644
2.35,2.35,18.754
2.35,2.40,17.159
2.35,2.45,15.823
2.35,2.50,14.622
2.35,2.55,13.545
2.35,2.60,12.562
2.35,2.65,11.884
2.35,2.70,11.416
2.35,2.75,11.064
2.35,2.80,10.858
2.35,2.85,10.812
2.35,2.90,10.910
2.35,2.95,11.046
2.35,3.00,11.162
2.40,2.35,17.999
2.40,2.40,16.306
2.40,2.45,14.823
2.40,2.50,13.574
2.40,2.55,12.475
2.40,2.60,11.445
2.40,2.65,10.715
2.40,2.70,10.171
2.40,2.75,9.840
2.40,2.80,9.631
2.40,2.85,9.514
2.40,2.90,9.595
2.40,2.95,9.725
2.40,3.00,9.916
2.45,2.40,15.488
2.45,2.45,13.901
2.45,2.50,12.620
2.45,2.55,11.470
2.45,2.60,10.465
2.45,2.65,9.636
2.45,2.70,9.051
2.45,2.75,8.646
2.45,2.80,8.388
2.45,2.85,8.264
2.45,2.90,8.285
2.45,2.95,8.414
2.45,3.00,8.651
2.50,2.45,13.077
2.50,2.50,11.728
2.50,2.55,10.524
2.50,2.60,9.535
2.50,2.65,8.662
2.50,2.70,7.994
2.50,2.75,7.548
2.50,2.80,7.244
2.50,2.85,7.083
2.50,2.90,7.074
2.50,2.95,7.135
2.50,3.00,7.347
2.55,2.45,12.340
2.55,2.50,10.924
2.55,2.55,9.686
2.55,2.60,8.628
2.55,2.65,7.767
2.55,2.70,7.051
2.55,2.75,6.583
2.55,2.80,6.192
2.55,2.85,6.006
2.55,2.90,5.942
2.55,2.95,6.012
2.55,3.00,6.148
2.60,2.50,10.225
2.60,2.55,8.932
2.60,2.60,7.899
2.60,2.65,6.951
2.60,2.70,6.144
2.60,2.75,5.657
2.60,2.80,5.266
2.60,2.85,5.036
2.60,2.90,4.910
2.60,2.95,4.959
2.60,3.00,5.065
2.65,2.55,8.304
2.65,2.60,7.234
2.65,2.65,6.244
2.65,2.70,5.453
2.65,2.75,4.840
2.65,2.80,4.413
2.65,2.85,4.205
2.65,2.90,4.040
2.65,2.95,4.015
2.65,3.00,4.122
2.70,2.60,6.640
2.70,2.65,5.663
2.70,2.70,4.851
2.70,2.75,4.212
2.70,2.80,3.690
2.70,2.85,3.405
2.70,2.90,3.215
